name,barred,aic_new,aic_old,Lxi_new,Lxi_old
1540783_15,False,152.57744270324582,265.3841566953583,3544101.042069466,1025059.8280268514
1540783_14,False,163.70007039336656,161.91056534344733,576534.7253790272,667811.2848156058
1540783_13,False,479.80233037111077,851.93440038663,6169288.701985008,1165517.0744198975
1540783_12,False,112.94401404353268,121.95867227159425,876841.8885276591,1415735.4704996021
1593757_28,True,269.4793593581008,391.01978870976274,34463.67360916932,35060.43949284266
1593757_27,True,213.9439327954608,276.177998628388,26484.250391790258,25218.160274953218
1593757_26,True,290.7780502660311,368.8702952688585,39247.54943489423,28035.114618586813
1593757_25,False,332.33872604332805,391.78061530905353,45973.28413726707,33940.245670348246
1593757_24,False,447.30168004691313,619.2834558082501,107682.01624211919,40270.17970806867
1593757_23,False,343.05744097452134,544.6762322541234,109900.37336126529,50713.57725869442
1593757_22,False,427.3604810780199,3109.0178509831417,68934.70833423422,57595.15120691403
1593757_21,False,764.744947536564,781.0995101169394,79542.4195405099,42279.12388939787
1593757_20,False,430.33427881495385,1068.3040145006885,45919.721700066075,37277.101277930284
1593757_19,False,294.0720318671685,1286.7324650607015,46348.737669774724,37377.8720904241
1593757_18,False,402.1415047349967,3624.6940756761437,76789.44306288233,47177.604799674824
1593757_17,False,426.66671689690793,25659.09334112498,185708.98300858383,88681.61071232117
1593757_16,False,592.5361615794526,1197.0599065502101,359092.45113642106,88960.0833224493
1593757_15,False,366.9143389926693,1270.3461602643729,3211757.9864634285,75795.62099962977
1593757_14,False,238.7601088790695,262.4755935608886,537008.3476464958,1081436.7095269654
1593757_13,False,365.6325203753655,2075.2038020518376,13162040.755252915,785416.23932796
1593757_12,False,57.620360930214325,59.671420963613215,1680743.1001866055,1725642.7153593816
1608845_28,False,862.5273469624212,956.5112472051571,48265.1497989576,36809.37659099207
1608845_27,False,594.8209393003972,793.2859940263347,47650.49600104901,38874.51795497897
1608845_26,False,628.8028423537269,786.7544168082204,51100.748035054654,38854.66832690054
1608845_25,False,551.123343331303,1069.1380436025179,162401.86959646404,50137.53875246244
1608845_24,False,1469.3720067884306,1741.8582612039538,1082656.427595821,292246.6881628599
1608845_23,False,308.292456990148,369.73474650078344,277471.449673226,295522.4451018001
1608845_22,False,528.4868574352244,570.8794082093846,280085.9954538699,475592.77540146123
1608845_21,False,646.7717502010445,658.6453434843693,390377.292389463,519053.4698834821
1608845_20,False,606.0760346894176,711.1970857224098,309561.24810347205,368747.14913447585
1608845_19,False,429.16657983062436,534.4412567636804,111951.67004745142,644041.1514105508
1608845_18,False,446.05554370382185,425.1988506286491,162570.66874842657,588345.7948856149
1608845_17,False,427.124317124917,437.6235948904849,160562.89197121328,193716.837984423
1608845_16,False,379.0614555686121,404.8252258073642,274736.1496956849,191356.9561223729
1608845_15,False,403.7310089534161,443.69312485687533,1591153.1645135153,277279.8572359239
1608845_14,False,463.46269262600765,1037.6245037335616,355754.60968160816,125719.90796966763
1608845_13,False,314.30724008151134,356.2149264166938,493448.3410639056,398655.05242508405
1608845_12,False,319.0384738477765,331.6462493990887,1001055.1495618599,4622188.284068964
1623194_28,True,205.02215100189477,215.8600450621315,36388.90565882107,36761.237536689194
1623194_27,True,198.65249422788276,202.37934307466872,31519.373798592413,29328.226478008066
1623194_26,True,212.8402090512761,238.18744549763855,35085.052804577324,25453.69488817484
1623194_25,True,237.08334205378264,307.14230400615924,94051.61623531287,26622.98892676323
1623194_24,True,408.1125233853153,671.8993282818292,95233.58016363723,32633.226316651773
1623194_23,True,252.43204819298452,496.9242398765843,52053.21366104583,37264.250914746764
1623194_22,False,565.0550147678523,692.6200786711236,74316.55110281848,41897.074176693284
1623194_21,False,537.3639376981022,650.3972148146357,139203.65725950076,38248.69915249121
1623194_20,False,621.6951197039655,2101.2964517651776,406769.847652602,41665.657980647404
1623194_19,False,430.51514842213544,827.8929207558847,72080.07197571537,35324.4073553443
1623194_18,False,1020.1089169476677,3056.3767140911486,202962.91655313296,62226.845857845365
1623194_17,False,4209.309545840151,4883.988800164487,305759.3671178814,107209.50324465852
1623194_16,False,660.8684887318203,679.5383527338972,204290.3441028017,243828.00545382526
1623194_15,False,607.894742471561,671.7369819763218,1330392.0118903741,381193.451429757
1623194_14,False,475.75871509919,588.5416014267552,364969.8958115156,243211.41495210538
1623194_13,False,450.2300423324915,510.2315643987397,748656.5534360933,1054402.2977086608
1623194_12,False,334.79176724260276,480.5412913996774,454209.71983003337,262833.83185730234
1681524_28,False,181.42831124600724,219.3631700386101,133684.23150847256,52266.92529055733
1681524_27,False,124.28152337118632,162.76086763707454,284652.0769859578,676598.5351054717
1681524_26,False,132.91597401606163,186.30761041273115,117535.01060562395,681924.1962464303
1681524_25,False,147.87060963033656,160.3338821113329,113561.79001185086,307748.8928720876
1681524_24,False,277.477815707746,315.07847295311694,724532.6065935589,97604.48360838863
1681524_23,False,158.49104286725694,164.4022595984617,94863.27960726988,246735.13299411634
1681524_22,False,358.5851354898036,406.7624197848654,140116.7347158151,304755.1505852911
1681524_21,False,354.1951939350082,393.707911813304,114827.024384079,336744.9303038764
1681524_20,False,230.47347422720333,256.53920120682074,214560.4034536429,139126.9687615009
1681524_19,False,143.19869132309546,167.8629616967466,156906.91607412792,104249.6578669438
1681524_18,False,240.06149587403422,305.3691547363269,141985.2149772037,75286.89921203007
1681524_17,False,284.15879548382077,382.9314132361977,288721.075792387,348280.03746142
1681524_16,False,199.48450772567068,285.9663865943346,1175339.060096079,166936.17527457292
1681524_15,False,215.02148434182328,1502.2827855194055,257789.1272797882,80160.50817862726
1681524_14,False,231.71555328799042,455.97654285093637,279535.9473599914,1846679.9076082408
1681524_13,False,159.08475372933796,505.244046254453,430402.3821147541,2035595.0958323947
1681524_12,False,183.05064528530693,848.2300347241764,425100.7285382019,394936.5164241181
1757806_28,True,382.588143670477,449.4307292580545,22158.651326900977,27888.489705566943
1757806_27,True,311.43760614745145,379.1032774996254,23731.311354043362,27457.756383011576
1757806_26,True,815.0202935335644,359.18389529353925,43713.2425425044,25327.09736546003
1757806_25,True,362.6143593028116,417.19722676964125,30452.90674977328,28692.014577648206
1757806_24,True,617.8931497460298,872.2833854241417,44536.28018626987,38260.31596498452
1757806_23,True,406.45173866014477,419.1763555864521,27943.545882851548,24980.889547482147
1757806_22,True,779.0083498801321,847.3995436213993,45784.98333692721,39562.93620794632
1757806_21,True,773.3951881572751,902.8477275900115,60404.0789519149,36831.637613680985
1757806_20,True,655.5132946161624,1929.5545290356663,69316.2441136392,46147.975340452824
1757806_19,True,423.2007590203524,1479.0999512983155,100301.63817942998,47011.86729831339
1757806_18,True,848.7460349808614,1107.403868530391,75656.29395387165,52763.78227558767
1757806_17,True,942.4502170715426,997.6822762792589,140116.07975476055,135721.88579282587
1757806_16,False,709.639605210636,1326.8360947925994,116648.18680153733,62768.47628016416
1757806_15,False,1000.3392203151257,1599.7816749232209,9074833.496684067,502882.92700540484
1757806_14,False,872.8611994991935,926.0682410803795,386863.3543220549,382705.38878379454
1757806_13,False,899.5907412627524,702.6109147604168,924681.1851706911,1951485.4141182413
1757806_12,False,270.6819479765118,923.8961491285777,1821119.558851,2450913.6748299496
1785362_28,False,461.55519232875054,632.1511229869309,96828.74211842577,82883.72228259778
1785362_27,False,408.26913465876834,451.1507009250844,79920.09260396904,249298.26726159593
1785362_26,False,195.97335002145627,401.7677693794717,1469502.6562712055,130412.67112861715
1785362_25,False,129.98451009473848,459.2857864569198,301371.09385372454,78732.15186002816
1785362_24,False,228.14265562411333,224.15679603958841,415928.0550245231,402510.96410507284
1785362_23,False,129.0726444225097,695.1590027507244,302413.0849249723,75918.96040607436
1785362_22,False,249.6701377534846,1490.0445553245322,312275.6788376396,76812.43575549359
1785362_21,False,293.51537570088567,450.5589600147982,290503.86842179106,106269.01608034196
1785362_20,False,266.68576550271337,262.14080800547225,332550.51626660663,1063672.8675736317
1785362_19,False,178.42108188802177,244.25553727160914,315315.33515353303,143912.96199120904
